set,metric,value,n_pairs,pct,cum_pct
confirmed_or,wl_dist,0,0,0.00,0.00
confirmed_or,wl_dist,1,14,0.38,0.38
confirmed_or,wl_dist,2,34,0.92,1.30
confirmed_or,wl_dist,3,51,1.38,2.68
confirmed_or,wl_dist,4,96,2.59,5.27
confirmed_or,wl_dist,5,136,3.68,8.95
confirmed_or,wl_dist,6,177,4.78,13.73
confirmed_or,wl_dist,7,239,6.46,20.19
confirmed_or,wl_dist,8,320,8.65,28.84
confirmed_or,wl_dist,9,407,11.00,39.84
confirmed_or,wl_dist,10,412,11.14,50.97
confirmed_or,wl_dist,11,342,9.24,60.22
confirmed_or,wl_dist,12,363,9.81,70.03
confirmed_or,wl_dist,13,290,7.84,77.86
confirmed_or,wl_dist,14,216,5.84,83.70
confirmed_or,wl_dist,15,177,4.78,88.49
confirmed_or,wl_dist,16,138,3.73,92.22
confirmed_or,wl_dist,17,87,2.35,94.57
confirmed_or,wl_dist,18,49,1.32,95.89
confirmed_or,wl_dist,19,30,0.81,96.70
confirmed_or,wl_dist,20,34,0.92,97.62
confirmed_or,wl_dist,>20,88,2.38,100.00
confirmed_or,wl_dist_content,0,0,0.00,0.00
confirmed_or,wl_dist_content,1,17,0.46,0.46
confirmed_or,wl_dist_content,2,65,1.76,2.22
confirmed_or,wl_dist_content,3,128,3.46,5.68
confirmed_or,wl_dist_content,4,283,7.65,13.32
confirmed_or,wl_dist_content,5,451,12.19,25.51
confirmed_or,wl_dist_content,6,584,15.78,41.30
confirmed_or,wl_dist_content,7,654,17.68,58.97
confirmed_or,wl_dist_content,8,536,14.49,73.46
confirmed_or,wl_dist_content,9,419,11.32,84.78
confirmed_or,wl_dist_content,10,238,6.43,91.22
confirmed_or,wl_dist_content,11,149,4.03,95.24
confirmed_or,wl_dist_content,12,75,2.03,97.27
confirmed_or,wl_dist_content,13,35,0.95,98.22
confirmed_or,wl_dist_content,14,20,0.54,98.76
confirmed_or,wl_dist_content,15,15,0.41,99.16
confirmed_or,wl_dist_content,16,5,0.14,99.30
confirmed_or,wl_dist_content,17,5,0.14,99.43
confirmed_or,wl_dist_content,18,3,0.08,99.51
confirmed_or,wl_dist_content,19,0,0.00,99.51
confirmed_or,wl_dist_content,20,1,0.03,99.54
confirmed_or,wl_dist_content,>20,17,0.46,100.00
comparison,wl_dist,0,25,0.06,0.06
comparison,wl_dist,1,296,0.76,0.83
comparison,wl_dist,2,581,1.50,2.32
comparison,wl_dist,3,1034,2.66,4.98
comparison,wl_dist,4,1466,3.77,8.75
comparison,wl_dist,5,2137,5.50,14.25
comparison,wl_dist,6,2829,7.28,21.53
comparison,wl_dist,7,3408,8.77,30.30
comparison,wl_dist,8,3804,9.79,40.09
comparison,wl_dist,9,3853,9.92,50.01
comparison,wl_dist,10,3762,9.68,59.69
comparison,wl_dist,11,3483,8.96,68.65
comparison,wl_dist,12,2926,7.53,76.18
comparison,wl_dist,13,2293,5.90,82.08
comparison,wl_dist,14,1830,4.71,86.79
comparison,wl_dist,15,1314,3.38,90.17
comparison,wl_dist,16,1053,2.71,92.88
comparison,wl_dist,17,708,1.82,94.70
comparison,wl_dist,18,485,1.25,95.95
comparison,wl_dist,19,373,0.96,96.91
comparison,wl_dist,20,245,0.63,97.54
comparison,wl_dist,>20,955,2.46,100.00
comparison,wl_dist_content,0,27,0.07,0.07
comparison,wl_dist_content,1,447,1.15,1.22
comparison,wl_dist_content,2,1412,3.63,4.85
comparison,wl_dist_content,3,2874,7.40,12.25
comparison,wl_dist_content,4,4645,11.95,24.20
comparison,wl_dist_content,5,6132,15.78,39.98
comparison,wl_dist_content,6,6370,16.39,56.37
comparison,wl_dist_content,7,5699,14.67,71.04
comparison,wl_dist_content,8,4348,11.19,82.23
comparison,wl_dist_content,9,2841,7.31,89.54
comparison,wl_dist_content,10,1684,4.33,93.87
comparison,wl_dist_content,11,921,2.37,96.24
comparison,wl_dist_content,12,517,1.33,97.57
comparison,wl_dist_content,13,299,0.77,98.34
comparison,wl_dist_content,14,155,0.40,98.74
comparison,wl_dist_content,15,100,0.26,99.00
comparison,wl_dist_content,16,60,0.15,99.15
comparison,wl_dist_content,17,51,0.13,99.28
comparison,wl_dist_content,18,32,0.08,99.37
comparison,wl_dist_content,19,36,0.09,99.46
comparison,wl_dist_content,20,19,0.05,99.51
comparison,wl_dist_content,>20,191,0.49,100.00
