word,z,log_odds_delta,n_or,n_cmp,n_distinct_orig_or,n_distinct_orig_cmp,z_doc,z_boot_p05,z_boot_med,boot_frac_z_gt_1p96
page,5.304,2.933,7,6,2,3,2.048,-0.38,4.92,0.76
devise,5.094,1.858,10,26,7,21,2.798,2.32,5.07,0.96
numbers,4.859,2.78,6,6,1,5,0.675,-0.47,4.85,0.67
launch,4.643,2.494,6,8,1,2,1.32,-0.33,4.7,0.68
weaponized,4.563,1.328,14,62,11,52,2.233,1.79,4.66,0.94
email,4.458,2.278,6,10,2,5,1.675,-0.23,4.36,0.79
technique,4.413,2.778,5,5,1,2,1.299,-0.23,4.34,0.63
website's,4.28,4.535,6,1,1,1,1.613,0.0,4.28,0.67
view,4.261,4.55,6,1,1,1,1.598,0.0,4.26,0.67
undetected,4.256,2.101,6,12,4,9,2.459,1.28,4.25,0.89
mining,3.493,3.178,3,2,1,1,1.589,0.0,3.44,0.63
criminal,3.493,3.178,3,2,1,1,1.589,0.0,3.44,0.63
investigations,3.492,3.179,3,2,1,1,1.587,0.0,3.44,0.63
help,3.433,2.775,3,3,1,1,1.625,0.0,3.46,0.68
party,3.422,2.775,3,3,1,1,1.609,0.0,3.45,0.68
platforms,3.416,2.775,3,3,2,2,2.249,-0.18,2.86,0.61
protected,3.413,2.775,3,3,1,1,1.596,0.0,3.44,0.68
anne,3.41,2.775,3,3,1,1,1.592,0.0,3.44,0.68
tim,3.41,2.775,3,3,1,1,1.592,0.0,3.44,0.68
scheme,3.391,1.994,4,9,4,7,2.771,0.9,3.34,0.85
join,3.38,3.854,3,1,1,1,1.602,0.0,3.4,0.68
online,3.344,1.983,4,9,3,5,2.426,0.33,3.24,0.79
deployed,3.324,2.497,3,4,1,4,0.867,-0.31,3.23,0.63
strategies,3.321,2.496,3,4,1,4,0.863,-0.39,3.2,0.66
client,3.272,2.49,3,4,1,2,1.279,-0.23,3.32,0.68
query,3.198,1.874,4,10,3,5,2.408,0.1,2.97,0.73
us,3.166,2.278,3,5,1,4,0.861,-0.41,3.23,0.67
well,3.13,2.27,3,5,1,2,1.299,-0.36,3.22,0.67
dear,3.12,2.268,3,5,1,2,1.284,-0.34,3.08,0.68
hope,3.12,2.268,3,5,1,2,1.284,-0.34,3.08,0.68
object,3.026,1.365,6,25,2,6,1.467,-0.81,2.9,0.64
website,2.881,1.952,3,7,2,4,1.865,-0.49,2.81,0.68
topic,2.88,1.952,3,7,1,6,0.531,-0.53,2.78,0.65
week,2.683,1.804,3,8,1,3,1.029,-0.52,2.79,0.66
way,2.627,1.433,4,16,2,7,1.389,-0.64,2.55,0.65
produce,2.594,1.006,7,45,7,37,1.673,0.57,2.75,0.71
provide,2.423,1.529,3,11,2,11,0.844,-0.49,2.27,0.59
targets,2.286,1.436,3,12,1,8,0.318,-0.76,2.05,0.52
manipulate,2.282,1.293,3,16,1,14,0.19,-0.46,2.23,0.56
nouns,2.191,1.403,3,12,1,4,0.813,-0.65,2.16,0.55
exploit,2.162,0.681,10,91,10,75,1.037,0.38,2.26,0.59
energy,2.129,1.34,3,13,2,4,1.861,-0.61,2.02,0.51
5,2.019,0.731,8,66,3,24,0.56,-1.46,1.97,0.5
given,1.956,0.481,17,180,7,73,0.073,-0.84,1.88,0.48
next,1.894,1.185,3,15,1,4,0.831,-0.72,1.94,0.49
construct,1.72,0.697,6,54,5,40,0.665,-0.3,1.85,0.45
weaponize,1.686,1.027,3,18,2,15,0.393,-0.78,1.56,0.41
break,1.631,0.946,3,21,3,16,1.138,-0.42,1.68,0.41
give,1.554,0.934,3,20,1,13,-0.166,-0.93,1.55,0.39
need,1.523,0.904,3,21,1,13,-0.114,-0.83,1.58,0.41
new,1.504,0.625,6,55,4,17,1.644,-0.74,1.65,0.43
three,1.503,0.681,5,44,4,14,1.968,-0.76,1.31,0.33
target,1.502,0.758,4,33,3,28,0.218,-0.62,1.5,0.39
type,1.417,0.86,3,21,2,8,1.15,-0.64,1.36,0.3
infiltrate,1.338,0.672,4,36,4,31,0.55,-0.53,1.31,0.28
best,1.301,0.781,3,23,1,11,-0.035,-0.87,1.33,0.34
intelligence,1.28,0.758,3,24,2,12,0.73,-0.79,1.32,0.34
artificial,1.276,0.757,3,24,2,12,0.726,-0.79,1.31,0.34
upward,1.128,8.109,4,0,1,0,,0.0,1.08,0.0
extract,1.001,0.369,7,88,6,56,0.354,-0.93,0.93,0.21
data,0.974,0.487,4,43,2,12,0.85,-1.2,0.76,0.23
product,0.834,0.491,3,31,1,7,0.433,-1.1,0.73,0.27
list,0.591,0.254,5,72,2,36,-0.521,-1.49,0.53,0.21
write,0.277,0.158,3,45,2,19,0.163,-1.14,0.23,0.07
identify,0.247,0.105,5,84,5,59,-0.2,-1.24,0.21,0.04
covertly,0.191,0.082,5,84,4,57,-0.559,-1.51,0.04,0.07
generate,-0.152,-0.079,3,67,3,46,-0.469,-1.28,-0.26,0.01
input,-0.261,-0.128,4,79,3,10,1.777,-2.16,-0.04,0.2
words,-0.463,-0.221,4,91,3,33,0.001,-1.62,-0.52,0.01
following,-1.733,-0.703,5,199,3,83,-1.528,-2.71,-1.71,0.0
sentence,-1.809,-0.621,7,256,5,86,-0.833,-2.91,-1.85,0.0
